taxon,bark_size.1.length_high,bark_color,fruit_shape,infructescence_shape,leaf_color,leaf_hair_surface,peduncle_shape,nut_apex_shape,nut_surface,nutlet_surface,branch_color,petiole_venation,nut_color,bract_apex_shape,branch_surface,nutlet_shape,twig_surface,bud_shape,petiole_apex_shape,article_surface,leaf_apex_shape,bract_margin,petiole_base_shape,phyllichnia_shape,leaf_duration,petiole_color,rachis_shape,rachis_surface,bark_surface,leaf_hair_shape,leaf_margin,bract_surface,leaf_axil_venation,leaf_venation,petiole_surface,branch_shape,bract_color,petiole_shape,leaf_count_location,leaf_base_shape,twig_color,bract_shape,inflorescence_shape,peduncle_surface,nut_shape,leaf_surface,leaf_shape,bud_surface,bud_color,bract_size_width,nut_size_length,bract_size_length,leaf_size_width,fruit_size_length,nutlet_size_width,infructescence_size_width,article_size_width,inflorescence_size_width,peduncle_size_length,nutlet_size_length,leaf_size_length,nut_size_width,inflorescence_size_length,infructescence_size_length,bract_size_thickness,bud_size_length,tree_size_height,branch_size_length,nut_size_thickness,article_size_length,petiole_size_length,rachis_size_thickness,twig_size_diameter,rachis_size_length
Alnus,nan,[],[],['27'],[],[],[],[],[],[],[],[],[],[],[],[],[],"['0', '12', '19', '3']",[],[],[],[],[],[],[],[],[],[],[],[],"['17', '13', '36', '32']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['8', '29', '27', '7']",['49'],['8'],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Alnus glutinosa,nan,['5'],['20'],"['25', '36']",[],[],[],[],[],[],[],[],[],[],[],[],[],"['7', '3']",[],[],"['21', '30']",[],[],[],[],[],[],[],['0'],[],"['13', '7']",[],[],['15'],[],[],[],[],[],"['17', '26']",[],[],[],[],[],"['19', '27', '7']",['40'],[],[],nan,nan,nan,5.5,nan,nan,1.0,nan,nan,5.5,nan,6.0,nan,nan,1.85,nan,8.0,nan,nan,nan,nan,nan,nan,nan,nan
Alnus incana,nan,"['16', '9', '5']","['3', '20', '14']","['0', '25']",[],[],[],[],[],[],[],[],[],[],[],[],[],['3'],[],[],"['8', '4', '23']",[],[],[],[],[],[],[],['0'],[],['13'],[],[],[],[],[],[],[],[],"['27', '17']",[],[],[],[],[],[],['49'],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.5,nan,nan,nan,nan,nan,nan,nan,nan
Alnus incana subsp. rugosa,9.0,"['7', '9']",[],['25'],['14'],[],[],[],[],[],[],[],[],[],[],[],[],['3'],[],[],"['8', '4', '23']",[],[],[],[],[],[],[],['0'],[],"['13', '40']",[],[],['15'],[],[],[],[],[],"['27', '17']",[],[],[],[],[],"['19', '27', '7']",['49'],[],[],nan,nan,nan,5.5,nan,nan,0.8,nan,nan,3.0,nan,7.5,nan,nan,1.35,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan
Alnus incana subsp. tenuifolia,nan,"['9', '5']",[],['25'],[],[],[],[],[],[],[],[],[],[],[],[],[],['3'],[],[],"['8', '23']",[],[],[],[],[],[],[],['0'],[],"['26', '2', '13']",[],[],[],[],[],[],[],[],"['27', '17']",[],[],[],[],[],"['19', '27', '7']",['49'],[],[],nan,nan,nan,5.25,nan,nan,0.8,nan,nan,3.0,nan,7.0,nan,nan,1.5,nan,5.5,nan,nan,nan,nan,nan,nan,nan,nan
Alnus maritima,nan,['9'],['14'],['25'],[],[],[],[],[],[],[],[],[],[],[],[],[],"['12', '3']",[],[],['8'],[],[],[],[],[],[],[],['0'],[],[],[],[],[],[],[],[],[],[],"['4', '17']",[],[],[],[],[],"['27', '7']",['18'],[],[],nan,nan,nan,3.5,nan,nan,1.2,nan,nan,7.5,nan,6.75,nan,nan,2.0,nan,3.75,nan,nan,nan,nan,nan,nan,nan,nan
Alnus oblongifolia,nan,"['9', '0']","['3', '20', '14']","['0', '25', '12']",[],[],[],[],[],[],[],[],[],[],[],[],[],['12'],[],[],['4'],[],[],[],[],[],[],[],['0'],[],"['13', '32']",[],[],[],[],[],[],[],[],"['27', '17']",[],[],[],[],[],"['19', '34', '27', '7']",['76'],[],[],nan,nan,nan,4.5,1.75,nan,nan,nan,nan,7.5,nan,7.0,nan,nan,nan,nan,6.0,nan,nan,nan,nan,nan,nan,nan,nan
Alnus rhombifolia,nan,['9'],"['3', '14']","['0', '25']",[],[],[],[],[],[],[],[],[],[],[],[],[],"['7', '3']",[],[],"['8', '25', '23']",[],[],[],[],[],[],[],['0'],[],"['36', '32']",[],[],[],[],[],[],[],[],"['27', '17']",[],[],[],[],[],"['19', '34', '27']",['76'],[],[],nan,nan,nan,3.5,nan,nan,0.7,nan,nan,5.5,nan,6.5,nan,nan,1.6,nan,6.0,nan,nan,nan,nan,nan,nan,nan,nan
Alnus rubra,nan,['9'],"['24', '20', '14']","['25', '36']",[],[],[],[],[],[],[],[],[],[],[],[],[],['3'],[],[],"['8', '23']",[],[],[],[],[],[],[],['0'],[],"['2', '13']",[],[],[],[],[],[],[],[],"['27', '17']",[],[],[],[],[],"['19', '27', '7']",['49'],[],[],nan,nan,nan,7.0,nan,nan,0.6,nan,nan,5.5,nan,11.0,nan,nan,2.25,nan,8.0,nan,nan,nan,nan,nan,nan,nan,nan
Alnus serrulata,10.0,['9'],"['20', '14']",['13'],[],[],[],[],[],[],[],[],[],[],[],[],[],"['7', '3']",[],[],"['25', '23']",[],[],[],[],[],[],[],['0'],[],['36'],[],[],[],[],[],[],[],[],['17'],[],[],[],[],[],"['34', '27', '7']",['18'],[],[],nan,nan,nan,5.75,nan,nan,0.6,nan,nan,2.0,nan,9.5,nan,nan,1.6,nan,4.5,nan,nan,nan,nan,nan,nan,nan,nan
